distrito_real,hombres_18+,mujeres_18+,total_adultos
AUTLÁN DE NAVARRO,118481,124511,242992
GUADALAJARA,368637,411073,779710
JOCOTEPEC,107439,114901,222340
LA BARCA,123660,134459,258119
LAGOS DE MORENO,109527,119831,229358
PUERTO VALLARTA,122536,125263,247799
SAN PEDRO TLAQUEPAQUE,267538,282582,550120
TEPATITLÁN DE MORELOS,128829,144646,273475
TEQUILA,114374,122668,237042
TLAJOMULCO DE ZUÑIGA,293492,319314,612806
TONALÁ,254204,266750,520954
ZAPOPAN,387590,419299,806889
ZAPOTLÁN,119430,131555,250985
